"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","2,335","1","-0.2","0","0.2","-0.5","-0.3","-0.2","-0.1","0.1"
"bs_sBIO08_Mean_1","4,035","1","1","0","0.1","0.8","0.9","1","1.1","1.3"
"bs_sTXX_IDW1N10_1","3,205","1","-2.4","0","0.2","-2.7","-2.5","-2.4","-2.3","-2.1"
"bs_sBIO02_Mean_1","4,606","1","1.4","0","0.1","1.2","1.3","1.4","1.4","1.6"
"bs_sTN90P_IDW1N10_1","3,659","1","1.4","0","0.1","1.2","1.3","1.4","1.5","1.6"
"bs_sID_IDW1N10_1","2,044","1","2.7","0","0.5","1.6","2.5","2.8","3.1","3.5"
"bs_sBIO14_Mean_1","4,860","1","0.5","0","0.1","0.4","0.5","0.6","0.6","0.7"
"bs_sBIO18_Mean_1","5,360","1","-1","0","0.2","-1.3","-1.1","-1","-0.9","-0.7"
"bs_sCWD_IDW1N10_1","4,510","1","-0.3","0","0.1","-0.5","-0.3","-0.3","-0.2","0"
"bs_sRX1DAY_IDW1N10_1","5,212","1","-3.2","0","0.2","-3.6","-3.4","-3.2","-3.1","-2.9"
"bs_sWSDI_IDW1N10_1","4,610","1","-1","0","0.1","-1.1","-1","-1","-0.9","-0.8"
"sds_sBIO08_Mean_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.2","2.2"
"sds_sTXX_IDW1N10_1","3,056","1","1.1","0","0.7","0.1","0.6","1","1.5","2.5"
"sds_sBIO02_Mean_1","4,474","1","1.1","0","0.6","0.1","0.7","1","1.5","2.5"
"sds_sTN90P_IDW1N10_1","4,667","1","5","0","0.5","4","4.6","5","5.4","6.1"
"sds_sID_IDW1N10_1","2,136","1","2.1","0","1.4","0.1","1","2","3.1","5"
"sds_sBIO14_Mean_1","6,000","1","0.9","0","0.7","0","0.4","0.8","1.4","2.5"
"sds_sBIO18_Mean_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.2","2.2"
"sds_sCWD_IDW1N10_1","4,721","1","1.1","0","0.8","0","0.5","1","1.7","3"
"sds_sRX1DAY_IDW1N10_1","6,000","1","3.9","0","0.7","2.5","3.4","3.9","4.3","5.3"
"sds_sWSDI_IDW1N10_1","6,000","1","1.7","0","0.6","0.6","1.3","1.7","2.1","3"
"s_sBIO08_Mean_1[1]","6,000","1","-0.5","0","0.9","-2.6","-0.8","-0.2","0.1","0.8"
"s_sTXX_IDW1N10_1[1]","3,001","1","1.2","0","1.2","-0.4","0.2","1","1.9","3.8"
"s_sBIO02_Mean_1[1]","4,372","1","1.1","0","0.9","-0.2","0.5","1.1","1.7","2.9"
"s_sTN90P_IDW1N10_1[1]","4,404","1","24.9","0","2.1","20.8","23.5","24.8","26.3","28.9"
